Fecha,FuenteIngreso,cantidad
31/12/19                      ,MovilSE                                                                                             ,         28
31/12/19                      ,PortalGZ                                                                                            ,          1
31/12/19                      ,UB                                                                                                  ,          1
31/12/19                      ,UB                                                                                                  ,         10
31/12/18                      ,MovilSE                                                                                             ,         31
31/12/18                      ,UB                                                                                                  ,         17
31/10/20                      ,MovilGZ                                                                                             ,          1
31/10/20                      ,UB                                                                                                  ,         27
31/10/20                      ,MovilSE                                                                                             ,         43
31/10/19                      ,MovilGZ                                                                                             ,          1
31/10/19                      ,MovilSE                                                                                             ,         24
31/10/19                      ,UB                                                                                                  ,          5
31/10/18                      ,MovilGZ                                                                                             ,          4
31/10/18                      ,MovilSE                                                                                             ,        121
31/10/18                      ,PortalGZ                                                                                            ,          1
31/10/18                      ,UB                                                                                                  ,         39
31/08/20                      ,MovilGZ                                                                                             ,          1
31/08/20                      ,UB                                                                                                  ,         46
31/08/20                      ,MovilSE                                                                                             ,        162
31/08/19                      ,MovilSE                                                                                             ,         48
31/08/19                      ,UB                                                                                                  ,         11
31/08/18                      ,MovilGZ                                                                                             ,          5
31/08/18                      ,MovilSE                                                                                             ,        101
31/08/18                      ,PortalGZ                                                                                            ,          3
31/08/18                      ,UB                                                                                                  ,         41
31/07/20                      ,MovilGZ                                                                                             ,          2
31/07/20                      ,MovilSE                                                                                             ,         75
31/07/20                      ,UB                                                                                                  ,         84
31/07/19                      ,MovilGZ                                                                                             ,         14
31/07/19                      ,MovilSE                                                                                             ,        214
31/07/19                      ,UB                                                                                                  ,         47
31/07/18                      ,MovilGZ                                                                                             ,          1
31/07/18                      ,MovilSE                                                                                             ,         66
31/07/18                      ,UB                                                                                                  ,         52
31/05/20                      ,MovilGZ                                                                                             ,          1
31/05/20                      ,MovilSE                                                                                             ,         11
31/05/20                      ,UB                                                                                                  ,         10
31/05/19                      ,UB                                                                                                  ,          1
31/05/19                      ,MovilGZ                                                                                             ,         12
31/05/19                      ,MovilSE                                                                                             ,        185
31/05/19                      ,UB                                                                                                  ,         45
31/05/18                      ,MovilGZ                                                                                             ,          1
31/05/18                      ,UB                                                                                                  ,         35
31/05/18                      ,MovilSE                                                                                             ,         59
31/03/20                      ,MovilGZ                                                                                             ,          1
