Fecha,FuenteIngreso,cantidad
31/12/19,MovilGZ,1
31/12/19,PortalGZ,1
31/12/19,MovilSE,19
31/12/19,UB,4
31/12/18,MovilSE,18
31/10/20,MovilSE,118
31/10/20,PortalGZ,2
31/10/20,UB,52
31/10/19,MovilGZ,17
31/10/19,PortalGZ,20
31/10/19,UB,33
31/10/19,MovilSE,447
31/10/18,MovilSE,552
31/10/18,PortalGZ,52
31/10/18,UB,23
31/08/20,CALL CENTER,3
31/08/20,MovilGZ,18
31/08/20,MovilSE,695
31/08/20,PortalGZ,10
31/08/20,UB,92
31/08/19,CALL CENTER,1
31/08/19,MovilSE,50
31/08/19,UB,7
31/08/19,MovilGZ,2
31/08/19,PortalGZ,3
31/08/18,MovilSE,556
31/08/18,PortalGZ,77
31/08/18,CALL CENTER,1
31/08/18,MovilGZ,6
31/08/18,UB,33
31/07/20,MovilGZ,13
31/07/20,MovilSE,3
31/07/20,MovilSE,382
31/07/20,PortalGZ,13
31/07/20,UB,92
31/07/19,CALL CENTER,1
31/07/19,MovilGZ,41
31/07/19,PortalGZ,43
31/07/19,MovilSE,795
31/07/19,UB,30
31/07/18,MovilSE,764
31/07/18,MovilGZ,1
31/07/18,PortalGZ,77
31/07/18,UB,51
31/05/20,MovilSE,13
31/05/20,PortalGZ,1
31/05/20,UB,5
31/05/19,MovilSE,2
31/05/19,MovilSE,849
31/05/19,UB,29
31/05/19,CALL CENTER,3
31/05/19,MovilGZ,16
31/05/19,PortalGZ,31
31/05/18,MovilSE,661
31/05/18,UB,62
31/05/18,CALL CENTER,2
31/05/18,PortalGZ,82
31/03/20,CALL CENTER,2
31/03/20,MovilGZ,2
31/03/20,MovilSE,58
31/03/20,PortalGZ,15
31/03/20,UB,23
31/03/19,PortalGZ,1
31/03/19,UB,4
31/03/19,MovilSE,54
31/03/18,MovilSE,30
31/03/18,UB,5
31/03/18,PortalGZ,1
31/01/20,CALL CENTER,2
31/01/20,MovilGZ,2
31/01/20,MovilSE,244
31/01/20,PortalGZ,6
31/01/20,UB,29
31/01/20,UB,1
31/01/19,CALL CENTER,1
31/01/19,MovilGZ,7
31/01/19,PortalGZ,35
31/01/19,MovilSE,1
31/01/19,MovilSE,489
31/01/19,UB,37
31/01/18,MovilSE,290
31/01/18,UB,42
31/01/18,PortalGZ,32
30/12/19,MovilGZ,11
30/12/19,MovilSE,310
30/12/19,PortalGZ,18
30/12/19,MovilSE,1
30/12/19,UB,22
30/12/18,MovilSE,6
30/12/18,UB,1
30/11/20,MovilSE,204
30/11/20,MovilGZ,5
30/11/20,PortalGZ,7
30/11/20,UB,30
30/11/19,MovilSE,108
30/11/19,PortalGZ,5
30/11/19,UB,7
30/11/19,CALL CENTER,1
30/11/19,MovilGZ,1
30/11/18,MovilGZ,3
30/11/18,MovilSE,290
30/11/18,PortalGZ,18
30/11/18,UB,18
30/10/20,MovilGZ,15
30/10/20,UB,104
30/10/20,MovilSE,638
30/10/20,PortalGZ,26
30/10/19,CALL CENTER,1
30/10/19,MovilGZ,18
30/10/19,UB,28
30/10/19,MovilSE,552
30/10/19,PortalGZ,37
30/10/18,CALL CENTER,1
30/10/18,MovilSE,671
30/10/18,PortalGZ,59
30/10/18,UB,23
30/09/20,CALL CENTER,4
30/09/20,MovilGZ,19
30/09/20,UB,79
30/09/20,MovilSE,470
30/09/20,PortalGZ,28
30/09/19,MovilSE,740
30/09/19,UB,41
30/09/19,MovilGZ,17
30/09/19,PortalGZ,21
30/09/18,UB,5
30/09/18,MovilSE,68
30/08/20,MovilGZ,3
30/08/20,UB,42
30/08/20,MovilSE,51
30/08/20,PortalGZ,1
30/08/19,MovilGZ,13
30/08/19,MovilSE,369
30/08/19,PortalGZ,17
30/08/19,UB,17
30/08/18,PortalGZ,69
30/08/18,CALL CENTER,1
30/08/18,MovilGZ,7
30/08/18,MovilSE,633
30/08/18,UB,43
30/07/20,UB,112
30/07/20,MovilGZ,14
30/07/20,MovilSE,383
30/07/20,PortalGZ,28
30/07/19,CALL CENTER,5
30/07/19,MovilSE,1
30/07/19,MovilSE,864
30/07/19,PortalGZ,41
30/07/19,UB,39
30/07/19,MovilGZ,30
30/07/18,CALL CENTER,2
30/07/18,MovilSE,675
30/07/18,PortalGZ,51
30/07/18,UB,40
30/06/20,MovilSE,1
30/06/20,PortalGZ,32
30/06/20,CALL CENTER,2
30/06/20,MovilGZ,14
30/06/20,MovilSE,713
30/06/20,UB,103
30/06/19,MovilSE,7
30/06/19,UB,2
30/06/18,MovilSE,56
30/06/18,PortalGZ,5
30/06/18,UB,5
30/05/20,CALL CENTER,1
30/05/20,MovilGZ,2
30/05/20,MovilSE,46
30/05/20,UB,23
30/05/19,CALL CENTER,1
30/05/19,MovilGZ,16
30/05/19,UB,37
30/05/19,MovilSE,760
30/05/19,PortalGZ,29
30/05/18,MovilSE,719
30/05/18,PortalGZ,104
30/05/18,UB,54
30/04/20,CALL CENTER,19
30/04/20,MovilGZ,16
30/04/20,MovilSE,443
30/04/20,PortalGZ,31
30/04/20,UB,47
30/04/19,CALL CENTER,1
30/04/19,MovilGZ,16
30/04/19,PortalGZ,51
30/04/19,UB,30
30/04/19,MovilSE,681
30/04/18,CALL CENTER,1
30/04/18,MovilSE,834
30/04/18,PortalGZ,89
30/04/18,UB,34
30/03/20,MovilGZ,4
30/03/20,PortalGZ,7
30/03/20,CALL CENTER,3
30/03/20,MovilSE,65
30/03/20,UB,28
30/03/19,MovilGZ,1
30/03/19,PortalGZ,6
30/03/19,UB,11
30/03/19,MovilSE,152
30/03/18,MovilSE,36
30/03/18,PortalGZ,1
30/03/18,UB,2
30/01/20,MovilGZ,20
30/01/20,MovilSE,407
30/01/20,UB,48
30/01/20,CALL CENTER,2
30/01/20,PortalGZ,12
30/01/19,CALL CENTER,3
30/01/19,MovilGZ,1
30/01/19,MovilGZ,7
30/01/19,MovilSE,2
30/01/19,PortalGZ,3
30/01/19,MovilSE,418
30/01/19,PortalGZ,39
30/01/19,UB,33
30/01/18,PortalGZ,107
30/01/18,UB,63
30/01/18,MovilSE,420
29/12/19,PortalGZ,1
29/12/19,MovilSE,5
