Fecha,FuenteIngreso,cantidad
31/10/20                      ,UB                                                                                                  ,          6
31/10/20                      ,MovilSE                                                                                             ,          1
31/10/19                      ,MovilGZ                                                                                             ,         15
31/10/19                      ,MovilSE                                                                                             ,        182
31/10/19                      ,UB                                                                                                  ,         14
31/10/18                      ,MovilGZ                                                                                             ,         11
31/10/18                      ,MovilSE                                                                                             ,        258
31/10/18                      ,PortalGZ                                                                                            ,          3
31/10/18                      ,UB                                                                                                  ,          6
31/08/20                      ,MovilGZ                                                                                             ,          1
31/08/20                      ,MovilSE                                                                                             ,         36
31/08/20                      ,UB                                                                                                  ,         11
31/08/18                      ,MovilGZ                                                                                             ,          5
31/08/18                      ,MovilSE                                                                                             ,        156
31/08/18                      ,PortalGZ                                                                                            ,          1
31/08/18                      ,UB                                                                                                  ,          1
31/07/20                      ,MovilGZ                                                                                             ,          5
31/07/20                      ,MovilSE                                                                                             ,         54
31/07/20                      ,UB                                                                                                  ,         19
31/07/19                      ,MovilGZ                                                                                             ,         16
31/07/19                      ,PortalGZ                                                                                            ,          1
31/07/19                      ,MovilSE                                                                                             ,        166
31/07/19                      ,UB                                                                                                  ,         16
31/07/18                      ,MovilSE                                                                                             ,        196
31/07/18                      ,PortalGZ                                                                                            ,          7
31/07/18                      ,UB                                                                                                  ,         12
31/05/19                      ,MovilGZ                                                                                             ,         12
31/05/19                      ,MovilSE                                                                                             ,        169
31/05/19                      ,UB                                                                                                  ,         17
31/05/18                      ,MovilSE                                                                                             ,          5
31/05/18                      ,UB                                                                                                  ,          5
31/03/20                      ,MovilGZ                                                                                             ,          1
31/03/20                      ,MovilSE                                                                                             ,         12
31/03/20                      ,UB                                                                                                  ,          3
31/01/20                      ,UB                                                                                                  ,          7
31/01/20                      ,MovilSE                                                                                             ,         85
31/01/19                      ,UB                                                                                                  ,          8
31/01/19                      ,MovilGZ                                                                                             ,          1
31/01/19                      ,MovilGZ                                                                                             ,          7
31/01/19                      ,MovilSE                                                                                             ,        138
31/01/19                      ,UB                                                                                                  ,          1
31/01/18                      ,MovilSE                                                                                             ,        196
31/01/18                      ,PortalGZ                                                                                            ,          3
31/01/18                      ,UB                                                                                                  ,          7
30/12/19                      ,UB                                                                                                  ,          7
30/12/19                      ,MovilGZ                                                                                             ,          6
30/12/19                      ,MovilSE                                                                                             ,        200
30/11/20                      ,UB                                                                                                  ,          1
30/11/20                      ,MovilSE                                                                                             ,        137
30/11/19                      ,MovilSE                                                                                             ,          2
30/11/18                      ,MovilGZ                                                                                             ,          3
30/11/18                      ,MovilSE                                                                                             ,        112
30/11/18                      ,PortalGZ                                                                                            ,          1
30/11/18                      ,UB                                                                                                  ,          3
30/10/20                      ,UB                                                                                                  ,         12
30/10/20                      ,MovilGZ                                                                                             ,          4
30/10/20                      ,MovilSE                                                                                             ,        134
30/10/19                      ,MovilGZ                                                                                             ,         16
30/10/19                      ,MovilSE                                                                                             ,          1
30/10/19                      ,MovilSE                                                                                             ,        195
30/10/19                      ,UB                                                                                                  ,         12
30/10/18                      ,MovilSE                                                                                             ,        164
30/10/18                      ,MovilGZ                                                                                             ,          7
30/10/18                      ,PortalGZ                                                                                            ,          1
30/10/18                      ,UB                                                                                                  ,          3
30/09/20                      ,MovilSE                                                                                             ,        110
30/09/20                      ,UB                                                                                                  ,         14
30/09/20                      ,MovilGZ                                                                                             ,          4
30/09/19                      ,MovilSE                                                                                             ,        148
30/09/19                      ,UB                                                                                                  ,         10
30/09/19                      ,MovilGZ                                                                                             ,          7
30/09/19                      ,PortalGZ                                                                                            ,          7
30/08/19                      ,CALL CENTER                                                                                         ,          1
30/08/19                      ,MovilGZ                                                                                             ,          5
30/08/19                      ,MovilSE                                                                                             ,         83
30/08/19                      ,PortalGZ                                                                                            ,          1
30/08/19                      ,UB                                                                                                  ,          7
30/08/18                      ,UB                                                                                                  ,          7
30/08/18                      ,MovilGZ                                                                                             ,          2
30/08/18                      ,MovilSE                                                                                             ,        106
30/08/18                      ,PortalGZ                                                                                            ,          1
30/07/20                      ,MovilGZ                                                                                             ,          1
30/07/20                      ,MovilSE                                                                                             ,         61
30/07/20                      ,UB                                                                                                  ,         23
30/07/19                      ,MovilSE                                                                                             ,        136
30/07/19                      ,MovilGZ                                                                                             ,          7
30/07/19                      ,PortalGZ                                                                                            ,          1
30/07/19                      ,UB                                                                                                  ,          8
30/07/18                      ,MovilSE                                                                                             ,        166
30/07/18                      ,PortalGZ                                                                                            ,          5
30/07/18                      ,UB                                                                                                  ,         15
30/07/18                      ,MovilGZ                                                                                             ,          1
30/06/20                      ,MovilGZ                                                                                             ,          7
30/06/20                      ,UB                                                                                                  ,          3
30/06/20                      ,MovilSE                                                                                             ,        136
30/06/18                      ,MovilSE                                                                                             ,          2
30/05/19                      ,MovilSE                                                                                             ,        274
30/05/19                      ,CALL CENTER                                                                                         ,          2
30/05/19                      ,MovilGZ                                                                                             ,         17
30/05/19                      ,UB                                                                                                  ,         21
30/05/18                      ,PortalGZ                                                                                            ,          2
30/05/18                      ,CALL CENTER                                                                                         ,          1
30/05/18                      ,MovilSE                                                                                             ,        113
30/05/18                      ,UB                                                                                                  ,         30
30/04/20                      ,MovilSE                                                                                             ,         15
30/04/20                      ,UB                                                                                                  ,         30
30/04/19                      ,MovilGZ                                                                                             ,          5
30/04/19                      ,PortalGZ                                                                                            ,          2
30/04/19                      ,UB                                                                                                  ,         10
30/04/19                      ,MovilSE                                                                                             ,        174
30/03/20                      ,MovilSE                                                                                             ,         14
30/03/20                      ,MovilGZ                                                                                             ,          3
30/03/20                      ,UB                                                                                                  ,          1
30/03/20                      ,UB                                                                                                  ,          6
30/01/20                      ,CALL CENTER                                                                                         ,          3
30/01/20                      ,MovilGZ                                                                                             ,          2
30/01/20                      ,MovilSE                                                                                             ,        132
30/01/20                      ,UB                                                                                                  ,         18
30/01/19                      ,CALL CENTER                                                                                         ,          1
30/01/19                      ,MovilSE                                                                                             ,          1
30/01/19                      ,MovilSE                                                                                             ,        139
30/01/19                      ,UB                                                                                                  ,          3
30/01/19                      ,MovilGZ                                                                                             ,          8
30/01/19                      ,PortalGZ                                                                                            ,          7
30/01/19                      ,UB                                                                                                  ,         10
30/01/18                      ,MovilSE                                                                                             ,        241
30/01/18                      ,PortalGZ                                                                                            ,          1
29/11/20                      ,UB                                                                                                  ,          4
29/11/19                      ,MovilSE                                                                                             ,         42
29/11/19                      ,PortalGZ                                                                                            ,          1
29/11/19                      ,UB                                                                                                  ,          6
29/11/19                      ,MovilGZ                                                                                             ,          4
29/11/18                      ,MovilGZ                                                                                             ,          1
29/11/18                      ,MovilSE                                                                                             ,        172
29/11/18                      ,PortalGZ                                                                                            ,          1
29/11/18                      ,UB                                                                                                  ,          8
29/10/20                      ,UB                                                                                                  ,         11
29/10/20                      ,MovilGZ                                                                                             ,          3
29/10/20                      ,MovilSE                                                                                             ,        110
29/10/19                      ,CALL CENTER                                                                                         ,          2
29/10/19                      ,UB                                                                                                  ,         23
29/10/19                      ,MovilGZ                                                                                             ,         23
29/10/19                      ,MovilSE                                                                                             ,        300
29/10/19                      ,PortalGZ                                                                                            ,          1
29/10/18                      ,CALL CENTER                                                                                         ,          2
29/10/18                      ,MovilSE                                                                                             ,        216
29/10/18                      ,PortalGZ                                                                                            ,          2
29/10/18                      ,MovilGZ                                                                                             ,          5
29/10/18                      ,UB                                                                                                  ,          7
29/09/20                      ,CALL CENTER                                                                                         ,          1
29/09/20                      ,UB                                                                                                  ,         23
29/09/20                      ,MovilGZ                                                                                             ,          4
29/09/20                      ,MovilSE                                                                                             ,         88
29/09/18                      ,MovilSE                                                                                             ,          1
29/08/19                      ,CALL CENTER                                                                                         ,          1
29/08/19                      ,MovilGZ                                                                                             ,         10
29/08/19                      ,MovilSE                                                                                             ,        117
29/08/19                      ,UB                                                                                                  ,          7
29/08/18                      ,PortalGZ                                                                                            ,          2
29/08/18                      ,UB                                                                                                  ,          5
29/08/18                      ,MovilGZ                                                                                             ,          4
29/08/18                      ,MovilSE                                                                                             ,        143
29/07/20                      ,MovilSE                                                                                             ,         49
29/07/20                      ,MovilGZ                                                                                             ,          4
29/07/20                      ,UB                                                                                                  ,          9
29/07/19                      ,MovilGZ                                                                                             ,         14
29/07/19                      ,MovilSE                                                                                             ,        195
29/07/19                      ,UB                                                                                                  ,         16
29/07/19                      ,PortalGZ                                                                                            ,          1
29/07/18                      ,MovilSE                                                                                             ,         28
29/07/18                      ,PortalGZ                                                                                            ,          3
