Fecha,FuenteIngreso,cantidad
31/12/19,UB,1
31/12/19,MovilSE,2
31/12/18,MovilSE,1
31/12/18,UB,2
31/10/20,MovilSE,11
31/10/20,UB,6
31/10/19,MovilGZ,3
31/10/19,UB,16
31/10/19,MovilSE,194
31/10/18,MovilSE,227
31/10/18,PortalGZ,1
31/10/18,UB,26
31/08/20,MovilGZ,7
31/08/20,MovilSE,1
31/08/20,MovilSE,291
31/08/20,UB,3
31/08/20,UB,46
31/08/19,UB,2
31/08/19,MovilSE,28
31/08/18,MovilGZ,3
31/08/18,MovilSE,199
31/08/18,PortalGZ,7
31/08/18,UB,36
31/07/20,MovilSE,158
31/07/20,UB,34
31/07/19,MovilGZ,14
31/07/19,MovilSE,390
31/07/19,UB,1
31/07/19,UB,23
31/07/18,MovilSE,486
31/07/18,MovilGZ,1
31/07/18,UB,58
31/05/20,MovilSE,24
31/05/20,UB,5
31/05/19,MovilGZ,6
31/05/19,PortalGZ,2
31/05/19,MovilSE,290
31/05/19,UB,22
31/05/18,MovilSE,391
31/05/18,UB,38
31/03/20,MovilGZ,5
31/03/20,MovilSE,34
31/03/20,UB,1
31/03/20,UB,15
31/03/20,PortalGZ,1
31/03/19,MovilGZ,1
31/03/19,MovilSE,1
31/03/19,UB,6
31/03/19,MovilSE,18
31/03/18,UB,4
31/03/18,MovilSE,48
31/01/20,UB,9
31/01/20,MovilSE,96
31/01/19,MovilGZ,8
31/01/19,MovilSE,1
31/01/19,UB,32
31/01/19,MovilSE,530
31/01/19,UB,2
31/01/18,MovilSE,190
31/01/18,UB,7
30/12/19,MovilGZ,3
30/12/19,UB,12
30/12/19,MovilSE,131
30/12/18,MovilSE,22
30/11/20,MovilGZ,1
30/11/20,MovilSE,87
30/11/20,UB,29
30/11/19,MovilGZ,2
30/11/19,MovilSE,26
30/11/19,UB,17
30/11/18,CALL CENTER,1
30/11/18,PortalGZ,4
30/11/18,UB,12
30/11/18,MovilGZ,1
30/11/18,MovilSE,254
30/10/20,MovilGZ,1
30/10/20,MovilSE,187
30/10/20,UB,32
30/10/19,UB,21
30/10/19,MovilGZ,4
30/10/19,MovilSE,298
30/10/19,PortalGZ,4
30/10/18,MovilGZ,3
30/10/18,PortalGZ,4
30/10/18,UB,33
30/10/18,MovilSE,261
30/09/20,MovilSE,170
30/09/20,MovilGZ,3
30/09/20,UB,37
30/09/19,UB,24
30/09/19,MovilGZ,3
30/09/19,MovilSE,215
30/09/19,PortalGZ,2
30/09/18,UB,4
30/09/18,MovilSE,61
30/08/20,MovilSE,3
30/08/20,UB,8
30/08/20,MovilSE,39
30/08/19,MovilGZ,7
30/08/19,MovilSE,176
30/08/19,PortalGZ,1
30/08/19,UB,24
30/08/18,MovilGZ,2
30/08/18,PortalGZ,7
30/08/18,UB,14
30/08/18,MovilSE,180
30/07/20,MovilSE,123
30/07/20,UB,34
30/07/19,MovilGZ,18
30/07/19,UB,44
30/07/19,MovilSE,458
30/07/18,CALL CENTER,1
30/07/18,MovilSE,357
30/07/18,UB,33
30/06/20,MovilGZ,4
30/06/20,MovilSE,212
