Fecha,FuenteIngreso,cantidad
31/12/19,UB,3
31/12/19,MovilSE,3
31/10/20,MovilSE,5
31/10/20,UB,46
31/10/19,MovilGZ,40
31/10/19,UB,74
31/10/19,MovilSE,14
31/10/19,MovilSE,424
31/10/19,PortalGZ,7
31/10/18,MovilGZ,36
31/10/18,PortalGZ,26
31/10/18,UB,57
31/10/18,MovilSE,578
31/08/20,MovilSE,1
31/08/20,MovilSE,3
31/08/20,PortalGZ,15
31/08/20,MovilGZ,40
31/08/20,MovilSE,383
31/08/20,UB,93
31/08/19,MovilSE,1
31/08/18,MovilGZ,17
31/08/18,MovilSE,416
31/08/18,PortalGZ,21
31/08/18,UB,62
31/07/20,MovilGZ,52
31/07/20,MovilSE,408
31/07/20,PortalGZ,19
31/07/20,UB,219
31/07/19,MovilGZ,28
31/07/19,MovilSE,18
31/07/19,MovilSE,436
31/07/19,PortalGZ,6
31/07/19,PortalGZ,8
31/07/19,UB,91
31/07/18,UB,62
31/07/18,MovilGZ,7
31/07/18,MovilSE,408
31/07/18,PortalGZ,16
31/05/20,MovilSE,2
31/05/19,MovilGZ,30
31/05/19,PortalGZ,2
31/05/19,PortalGZ,11
31/05/19,UB,79
31/05/19,MovilSE,3
31/05/19,MovilSE,575
31/05/18,MovilSE,345
31/05/18,PortalGZ,12
31/05/18,UB,38
31/05/18,MovilGZ,1
31/03/20,MovilSE,295
31/03/20,PortalGZ,19
31/03/20,MovilGZ,34
31/03/20,UB,121
31/03/19,UB,1
31/01/20,MovilGZ,29
31/01/20,MovilSE,1
31/01/20,PortalGZ,4
31/01/20,MovilSE,367
31/01/20,UB,1
31/01/20,UB,65
31/01/19,MovilGZ,12
31/01/19,MovilSE,3
31/01/19,PortalGZ,3
31/01/19,UB,41
31/01/19,MovilSE,377
31/01/18,MovilSE,446
31/01/18,UB,58
31/01/18,PortalGZ,32
30/12/19,MovilSE,13
30/12/19,UB,2
30/12/19,UB,55
30/12/19,MovilGZ,36
30/12/19,MovilSE,520
30/12/19,PortalGZ,3
30/12/19,PortalGZ,13
30/12/18,MovilSE,1
30/11/20,PortalGZ,2
30/11/20,MovilGZ,15
30/11/20,MovilSE,281
30/11/20,UB,61
30/11/19,MovilSE,2
30/11/18,MovilSE,306
30/11/18,MovilGZ,10
30/11/18,PortalGZ,1
30/11/18,UB,46
30/10/20,MovilGZ,40
30/10/20,MovilSE,352
30/10/20,PortalGZ,20
30/10/20,UB,143
30/10/19,MovilSE,9
30/10/19,UB,84
30/10/19,MovilGZ,29
30/10/19,MovilSE,500
30/10/19,PortalGZ,11
30/10/18,MovilSE,641
30/10/18,PortalGZ,21
30/10/18,MovilGZ,25
30/10/18,UB,93
30/09/20,MovilSE,379
30/09/20,PortalGZ,14
30/09/20,MovilGZ,46
30/09/20,UB,132
30/09/19,MovilGZ,35
30/09/19,MovilSE,503
30/09/19,PortalGZ,16
30/09/19,UB,112
30/09/18,MovilSE,1
30/08/20,MovilGZ,1
30/08/20,MovilSE,2
30/08/20,UB,17
30/08/19,MovilGZ,43
30/08/19,MovilSE,468
30/08/19,MovilSE,9
30/08/19,PortalGZ,4
30/08/19,PortalGZ,12
30/08/19,UB,83
30/08/18,MovilGZ,22
30/08/18,MovilSE,480
30/08/18,PortalGZ,11
30/08/18,UB,41
30/07/20,MovilGZ,44
30/07/20,PortalGZ,22
30/07/20,MovilSE,348
30/07/20,UB,256
30/07/19,MovilSE,6
30/07/19,MovilSE,459
30/07/19,PortalGZ,7
30/07/19,UB,81
30/07/19,MovilGZ,30
30/07/19,UB,3
30/07/18,MovilGZ,21
30/07/18,MovilSE,470
30/07/18,PortalGZ,8
30/07/18,UB,97
30/06/20,MovilSE,353
