Fecha,FuenteIngreso,cantidad
31/12/19                      ,MovilSE                                                                                             ,          3
31/12/19                      ,UB                                                                                                  ,          2
31/10/20                      ,MovilGZ                                                                                             ,          2
31/10/20                      ,MovilSE                                                                                             ,          3
31/10/19                      ,MovilGZ                                                                                             ,          2
31/10/19                      ,MovilSE                                                                                             ,         12
31/10/19                      ,UB                                                                                                  ,          3
31/10/18                      ,MovilSE                                                                                             ,         19
31/10/18                      ,MovilGZ                                                                                             ,          9
31/10/18                      ,PortalGZ                                                                                            ,          1
31/10/18                      ,UB                                                                                                  ,          1
31/08/20                      ,MovilSE                                                                                             ,         13
31/08/20                      ,UB                                                                                                  ,         19
31/08/20                      ,MovilGZ                                                                                             ,          4
31/08/19                      ,PortalGZ                                                                                            ,          2
31/08/18                      ,MovilSE                                                                                             ,         30
31/08/18                      ,PortalGZ                                                                                            ,          5
31/08/18                      ,UB                                                                                                  ,          2
31/08/18                      ,MovilGZ                                                                                             ,         13
31/07/20                      ,MovilSE                                                                                             ,          1
31/07/20                      ,PortalGZ                                                                                            ,          1
31/07/20                      ,MovilGZ                                                                                             ,          3
31/07/20                      ,UB                                                                                                  ,          8
31/07/19                      ,MovilSE                                                                                             ,         26
31/07/19                      ,UB                                                                                                  ,          5
31/07/19                      ,MovilGZ                                                                                             ,         13
31/07/19                      ,PortalGZ                                                                                            ,          1
31/07/18                      ,MovilGZ                                                                                             ,          3
31/07/18                      ,MovilSE                                                                                             ,         57
31/07/18                      ,PortalGZ                                                                                            ,          4
31/07/18                      ,UB                                                                                                  ,          3
31/05/20                      ,UB                                                                                                  ,          5
31/05/19                      ,MovilGZ                                                                                             ,          3
31/05/19                      ,MovilSE                                                                                             ,         31
31/05/19                      ,UB                                                                                                  ,          3
31/05/18                      ,MovilGZ                                                                                             ,          1
31/05/18                      ,MovilSE                                                                                             ,         32
31/05/18                      ,PortalGZ                                                                                            ,          6
31/05/18                      ,UB                                                                                                  ,          1
31/03/20                      ,UB                                                                                                  ,          2
31/03/20                      ,MovilSE                                                                                             ,          1
31/03/20                      ,PortalGZ                                                                                            ,          1
31/03/19                      ,UB                                                                                                  ,          2
31/03/18                      ,UB                                                                                                  ,          1
31/01/20                      ,MovilSE                                                                                             ,          1
31/01/20                      ,MovilSE                                                                                             ,          9
31/01/20                      ,MovilGZ                                                                                             ,          4
31/01/20                      ,UB                                                                                                  ,          4
31/01/19                      ,MovilGZ                                                                                             ,          1
31/01/19                      ,MovilGZ                                                                                             ,          4
31/01/19                      ,UB                                                                                                  ,          2
31/01/19                      ,MovilSE                                                                                             ,         14
31/01/18                      ,MovilSE                                                                                             ,          6
31/01/18                      ,PortalGZ                                                                                            ,          3
31/01/18                      ,UB                                                                                                  ,          6
30/12/19                      ,MovilSE                                                                                             ,          3
30/12/19                      ,MovilSE                                                                                             ,         39
30/12/19                      ,PortalGZ                                                                                            ,          2
30/12/19                      ,UB                                                                                                  ,          9
30/12/19                      ,MovilGZ                                                                                             ,         14
30/12/18                      ,MovilGZ                                                                                             ,          1
30/11/20                      ,MovilSE                                                                                             ,          5
30/11/20                      ,UB                                                                                                  ,          3
30/11/19                      ,UB                                                                                                  ,          3
30/11/19                      ,MovilSE                                                                                             ,          4
30/11/18                      ,MovilSE                                                                                             ,         21
30/10/20                      ,MovilSE                                                                                             ,         11
30/10/20                      ,MovilGZ                                                                                             ,          9
30/10/20                      ,MovilSE                                                                                             ,          4
30/10/20                      ,PortalGZ                                                                                            ,          6
30/10/20                      ,UB                                                                                                  ,          8
30/10/19                      ,MovilSE                                                                                             ,         17
