Fecha,FuenteIngreso,cantidad
31/12/19                      ,MovilSE                                                                                             ,          6
31/12/19                      ,UB                                                                                                  ,          1
31/12/18                      ,UB                                                                                                  ,          1
31/10/20                      ,MovilGZ                                                                                             ,          1
31/10/20                      ,MovilSE                                                                                             ,          5
31/10/20                      ,UB                                                                                                  ,          2
31/10/19                      ,MovilSE                                                                                             ,        112
31/10/19                      ,UB                                                                                                  ,          7
31/10/19                      ,MovilGZ                                                                                             ,         11
31/10/19                      ,PortalGZ                                                                                            ,          3
31/10/18                      ,MovilGZ                                                                                             ,          4
31/10/18                      ,MovilSE                                                                                             ,         64
31/10/18                      ,PortalGZ                                                                                            ,          1
31/08/20                      ,MovilSE                                                                                             ,          4
31/08/20                      ,MovilSE                                                                                             ,        100
31/08/20                      ,UB                                                                                                  ,         44
31/08/20                      ,MovilGZ                                                                                             ,         12
31/08/18                      ,PortalGZ                                                                                            ,          1
31/08/18                      ,UB                                                                                                  ,          1
31/08/18                      ,MovilGZ                                                                                             ,          5
31/08/18                      ,MovilSE                                                                                             ,         67
31/07/20                      ,MovilGZ                                                                                             ,          1
31/07/20                      ,MovilSE                                                                                             ,         39
31/07/20                      ,UB                                                                                                  ,          8
31/07/19                      ,MovilGZ                                                                                             ,          6
31/07/19                      ,MovilSE                                                                                             ,          2
31/07/19                      ,MovilSE                                                                                             ,        119
31/07/19                      ,UB                                                                                                  ,         10
31/07/18                      ,MovilGZ                                                                                             ,          9
31/07/18                      ,UB                                                                                                  ,          3
31/07/18                      ,MovilSE                                                                                             ,        149
31/07/18                      ,PortalGZ                                                                                            ,          5
31/05/19                      ,MovilGZ                                                                                             ,          9
31/05/19                      ,MovilSE                                                                                             ,        108
31/05/19                      ,PortalGZ                                                                                            ,          3
31/05/19                      ,UB                                                                                                  ,          5
31/05/19                      ,MovilSE                                                                                             ,          3
31/05/18                      ,MovilGZ                                                                                             ,          8
31/05/18                      ,MovilSE                                                                                             ,        176
31/05/18                      ,PortalGZ                                                                                            ,          2
31/05/18                      ,UB                                                                                                  ,          1
31/03/20                      ,MovilSE                                                                                             ,          8
31/03/20                      ,MovilSE                                                                                             ,         16
31/03/20                      ,UB                                                                                                  ,          5
31/01/20                      ,MovilSE                                                                                             ,         76
31/01/20                      ,MovilGZ                                                                                             ,          7
31/01/20                      ,MovilSE                                                                                             ,          1
31/01/20                      ,MovilSE                                                                                             ,          3
31/01/20                      ,UB                                                                                                  ,          3
31/01/19                      ,MovilSE                                                                                             ,        126
31/01/19                      ,UB                                                                                                  ,          6
31/01/19                      ,MovilGZ                                                                                             ,          7
31/01/19                      ,PortalGZ                                                                                            ,          3
31/01/18                      ,MovilSE                                                                                             ,        145
31/01/18                      ,PortalGZ                                                                                            ,          6
30/12/19                      ,MovilGZ                                                                                             ,          2
30/12/19                      ,MovilSE                                                                                             ,          2
30/12/19                      ,MovilSE                                                                                             ,         63
30/12/19                      ,UB                                                                                                  ,          1
30/12/18                      ,MovilSE                                                                                             ,          1
30/11/20                      ,MovilSE                                                                                             ,         25
30/11/20                      ,MovilGZ                                                                                             ,          1
30/11/19                      ,MovilSE                                                                                             ,          2
30/11/19                      ,MovilSE                                                                                             ,         10
30/11/18                      ,MovilGZ                                                                                             ,          5
30/11/18                      ,MovilSE                                                                                             ,        104
30/11/18                      ,UB                                                                                                  ,          3
30/10/20                      ,UB                                                                                                  ,         26
30/10/20                      ,MovilGZ                                                                                             ,          4
30/10/20                      ,MovilSE                                                                                             ,          4
30/10/20                      ,MovilSE                                                                                             ,         57
30/10/19                      ,MovilSE                                                                                             ,        159
30/10/19                      ,PortalGZ                                                                                            ,          2
30/10/19                      ,UB                                                                                                  ,          5
30/10/19                      ,MovilGZ                                                                                             ,         12
30/10/19                      ,MovilSE                                                                                             ,          2
30/10/18                      ,MovilGZ                                                                                             ,         11
30/10/18                      ,MovilSE                                                                                             ,        120
30/10/18                      ,PortalGZ                                                                                            ,          3
30/10/18                      ,UB                                                                                                  ,          1
30/09/20                      ,MovilGZ                                                                                             ,          2
30/09/20                      ,MovilSE                                                                                             ,         56
30/09/20                      ,PortalGZ                                                                                            ,          1
30/09/20                      ,MovilSE                                                                                             ,          7
30/09/20                      ,UB                                                                                                  ,         19
30/09/19                      ,MovilSE                                                                                             ,          8
30/09/19                      ,PortalGZ                                                                                            ,          3
30/09/19                      ,MovilGZ                                                                                             ,          7
30/09/19                      ,MovilSE                                                                                             ,        110
30/09/19                      ,UB                                                                                                  ,          9
30/08/20                      ,UB                                                                                                  ,          1
30/08/19                      ,MovilGZ                                                                                             ,          9
30/08/19                      ,MovilSE                                                                                             ,          5
30/08/19                      ,UB                                                                                                  ,          2
30/08/19                      ,MovilSE                                                                                             ,         89
30/08/18                      ,MovilGZ                                                                                             ,          8
30/08/18                      ,MovilSE                                                                                             ,         63
30/08/18                      ,PortalGZ                                                                                            ,          2
30/08/18                      ,UB                                                                                                  ,          2
30/07/20                      ,MovilGZ                                                                                             ,          3
30/07/20                      ,MovilSE                                                                                             ,         24
30/07/20                      ,MovilSE                                                                                             ,         38
30/07/20                      ,UB                                                                                                  ,         16
30/07/19                      ,MovilGZ                                                                                             ,          4
30/07/19                      ,PortalGZ                                                                                            ,          1
30/07/19                      ,UB                                                                                                  ,          5
30/07/19                      ,MovilSE                                                                                             ,          7
30/07/19                      ,MovilSE                                                                                             ,        120
30/07/18                      ,MovilSE                                                                                             ,        183
30/07/18                      ,UB                                                                                                  ,          9
30/07/18                      ,MovilGZ                                                                                             ,          8
30/07/18                      ,PortalGZ                                                                                            ,          7
30/06/20                      ,MovilGZ                                                                                             ,          7
30/06/20                      ,MovilSE                                                                                             ,         68
30/06/20                      ,UB                                                                                                  ,         32
30/06/18                      ,MovilSE                                                                                             ,         10
30/05/20                      ,MovilSE                                                                                             ,          1
30/05/19                      ,MovilSE                                                                                             ,        108
30/05/19                      ,UB                                                                                                  ,          3
30/05/19                      ,MovilGZ                                                                                             ,          2
30/05/19                      ,MovilSE                                                                                             ,         13
30/05/18                      ,MovilSE                                                                                             ,        143
30/05/18                      ,PortalGZ                                                                                            ,         12
30/05/18                      ,UB                                                                                                  ,          2
30/05/18                      ,MovilGZ                                                                                             ,          6
30/04/20                      ,UB                                                                                                  ,          5
30/04/20                      ,MovilSE                                                                                             ,          5
30/04/19                      ,MovilGZ                                                                                             ,          6
30/04/19                      ,MovilSE                                                                                             ,         65
30/04/19                      ,UB                                                                                                  ,          5
30/04/18                      ,MovilSE                                                                                             ,        116
30/04/18                      ,UB                                                                                                  ,          1
30/04/18                      ,PortalGZ                                                                                            ,         10
30/03/20                      ,MovilSE                                                                                             ,          3
30/03/20                      ,UB                                                                                                  ,          2
30/03/20                      ,MovilGZ                                                                                             ,          1
30/03/20                      ,MovilSE                                                                                             ,         33
30/03/19                      ,MovilSE                                                                                             ,          1
30/01/20                      ,MovilGZ                                                                                             ,         13
30/01/20                      ,UB                                                                                                  ,          2
30/01/20                      ,MovilSE                                                                                             ,        113
30/01/19                      ,MovilGZ                                                                                             ,          3
30/01/19                      ,MovilSE                                                                                             ,        132
30/01/19                      ,UB                                                                                                  ,          5
30/01/19                      ,PortalGZ                                                                                            ,          6
30/01/18                      ,MovilSE                                                                                             ,        110
30/01/18                      ,PortalGZ                                                                                            ,          7
30/01/18                      ,UB                                                                                                  ,          1
29/12/18                      ,MovilGZ                                                                                             ,          1
29/12/18                      ,MovilSE                                                                                             ,          3
29/11/20                      ,UB                                                                                                  ,          4
29/11/19                      ,MovilGZ                                                                                             ,         13
29/11/19                      ,MovilSE                                                                                             ,        118
29/11/19                      ,PortalGZ                                                                                            ,          2
29/11/19                      ,UB                                                                                                  ,          4
29/11/18                      ,MovilGZ                                                                                             ,          3
29/11/18                      ,MovilSE                                                                                             ,        105
29/11/18                      ,PortalGZ                                                                                            ,          2
29/11/18                      ,UB                                                                                                  ,          5
29/10/20                      ,MovilGZ                                                                                             ,          1
29/10/20                      ,MovilSE                                                                                             ,         15
29/10/20                      ,MovilSE                                                                                             ,         49
29/10/20                      ,UB                                                                                                  ,         15
29/10/19                      ,UB                                                                                                  ,          4
29/10/19                      ,MovilGZ                                                                                             ,          7
29/10/19                      ,MovilSE                                                                                             ,        112
29/10/18                      ,MovilGZ                                                                                             ,          9
29/10/18                      ,PortalGZ                                                                                            ,          5
29/10/18                      ,UB                                                                                                  ,          2
29/10/18                      ,MovilSE                                                                                             ,        117
29/09/20                      ,MovilSE                                                                                             ,         28
29/09/20                      ,UB                                                                                                  ,         21
29/09/20                      ,MovilGZ                                                                                             ,          4
29/09/20                      ,MovilSE                                                                                             ,         72
29/09/20                      ,PortalGZ                                                                                            ,          1
29/09/18                      ,MovilSE                                                                                             ,          5
29/08/20                      ,MovilSE                                                                                             ,          6
29/08/20                      ,UB                                                                                                  ,          7
29/08/19                      ,MovilGZ                                                                                             ,         13
29/08/19                      ,MovilSE                                                                                             ,         73
29/08/19                      ,PortalGZ                                                                                            ,          2
29/08/19                      ,UB                                                                                                  ,          1
29/08/18                      ,MovilGZ                                                                                             ,          3
29/08/18                      ,UB                                                                                                  ,          2
29/08/18                      ,MovilSE                                                                                             ,         85
29/07/20                      ,MovilSE                                                                                             ,          2
29/07/20                      ,MovilSE                                                                                             ,         15
29/07/20                      ,UB                                                                                                  ,         15
29/07/20                      ,MovilGZ                                                                                             ,          1
29/07/20                      ,MovilSE                                                                                             ,         29
29/07/20                      ,PortalGZ                                                                                            ,          1
29/07/19                      ,MovilGZ                                                                                             ,         11
29/07/19                      ,MovilSE                                                                                             ,          2
29/07/19                      ,UB                                                                                                  ,         13
29/07/19                      ,MovilSE                                                                                             ,        194
29/07/19                      ,PortalGZ                                                                                            ,          1
29/07/18                      ,MovilSE                                                                                             ,         15
29/07/18                      ,UB                                                                                                  ,          2
29/06/20                      ,MovilGZ                                                                                             ,          8
29/06/20                      ,MovilSE                                                                                             ,         13
29/06/20                      ,PortalGZ                                                                                            ,          3
29/06/20                      ,MovilSE                                                                                             ,         88
29/06/20                      ,UB                                                                                                  ,         26
29/06/19                      ,MovilSE                                                                                             ,          5
29/06/19                      ,PortalGZ                                                                                            ,          3
29/06/18                      ,MovilSE                                                                                             ,        119
29/06/18                      ,PortalGZ                                                                                            ,          2
29/06/18                      ,UB                                                                                                  ,          3
29/05/20                      ,MovilGZ                                                                                             ,          1
29/05/20                      ,MovilSE                                                                                             ,          2
29/05/20                      ,UB                                                                                                  ,          2
29/05/19                      ,MovilGZ                                                                                             ,          3
29/05/19                      ,MovilSE                                                                                             ,        115
29/05/19                      ,PortalGZ                                                                                            ,          2
29/05/19                      ,UB                                                                                                  ,          4
29/05/18                      ,MovilGZ                                                                                             ,          1
29/05/18                      ,PortalGZ                                                                                            ,          3
29/05/18                      ,MovilSE                                                                                             ,        141
29/05/18                      ,UB                                                                                                  ,          4
29/04/20                      ,MovilSE                                                                                             ,          2
29/04/20                      ,MovilGZ                                                                                             ,          1
29/04/20                      ,UB                                                                                                  ,          6
29/04/19                      ,MovilGZ                                                                                             ,         10
29/04/19                      ,MovilSE                                                                                             ,        164
29/04/19                      ,UB                                                                                                  ,         14
29/04/19                      ,PortalGZ                                                                                            ,          4
29/04/18                      ,MovilSE                                                                                             ,          4
29/03/20                      ,MovilSE                                                                                             ,          1
29/03/19                      ,MovilGZ                                                                                             ,         11
29/03/19                      ,MovilSE                                                                                             ,        110
29/03/19                      ,UB                                                                                                  ,          3
29/03/19                      ,MovilSE                                                                                             ,          5
29/03/19                      ,PortalGZ                                                                                            ,          1
29/03/18                      ,PortalGZ                                                                                            ,          1
29/03/18                      ,MovilSE                                                                                             ,         14
29/02/20                      ,MovilSE                                                                                             ,          1
29/02/20                      ,UB                                                                                                  ,          1
29/01/20                      ,MovilGZ                                                                                             ,          4
29/01/20                      ,MovilSE                                                                                             ,          8
29/01/20                      ,MovilSE                                                                                             ,        101
29/01/20                      ,UB                                                                                                  ,          4
29/01/19                      ,MovilSE                                                                                             ,        136
29/01/19                      ,PortalGZ                                                                                            ,          2
29/01/19                      ,MovilGZ                                                                                             ,          4
29/01/18                      ,MovilSE                                                                                             ,        140
29/01/18                      ,UB                                                                                                  ,          3
29/01/18                      ,PortalGZ                                                                                            ,          6
28/12/18                      ,PortalGZ                                                                                            ,          1
28/12/18                      ,UB                                                                                                  ,          3
28/12/18                      ,MovilGZ                                                                                             ,         10
28/12/18                      ,MovilSE                                                                                             ,        133
28/11/20                      ,MovilSE                                                                                             ,          9
28/11/19                      ,MovilGZ                                                                                             ,          3
28/11/19                      ,MovilSE                                                                                             ,          4
28/11/19                      ,UB                                                                                                  ,          6
28/11/19                      ,MovilSE                                                                                             ,        106
28/11/18                      ,MovilSE                                                                                             ,         71
28/11/18                      ,UB                                                                                                  ,          4
28/11/18                      ,MovilGZ                                                                                             ,          2
28/11/18                      ,PortalGZ                                                                                            ,          3
28/10/20                      ,MovilSE                                                                                             ,         68
28/10/20                      ,MovilGZ                                                                                             ,          4
28/10/20                      ,MovilSE                                                                                             ,          4
28/10/20                      ,PortalGZ                                                                                            ,          8
28/10/20                      ,UB                                                                                                  ,         26
28/10/19                      ,MovilGZ                                                                                             ,         12
28/10/19                      ,MovilSE                                                                                             ,          2
28/10/19                      ,MovilSE                                                                                             ,        118
28/10/19                      ,UB                                                                                                  ,          1
28/10/18                      ,MovilSE                                                                                             ,          4
28/09/20                      ,MovilSE                                                                                             ,         74
28/09/20                      ,MovilGZ                                                                                             ,          5
28/09/20                      ,MovilSE                                                                                             ,         25
28/09/20                      ,UB                                                                                                  ,         32
28/09/19                      ,UB                                                                                                  ,          1
28/09/19                      ,MovilSE                                                                                             ,          3
28/09/18                      ,MovilSE                                                                                             ,        169
28/09/18                      ,PortalGZ                                                                                            ,          4
28/09/18                      ,UB                                                                                                  ,          4
28/09/18                      ,MovilGZ                                                                                             ,          2
28/08/20                      ,MovilGZ                                                                                             ,          6
28/08/20                      ,MovilSE                                                                                             ,         16
28/08/20                      ,MovilSE                                                                                             ,         75
28/08/20                      ,UB                                                                                                  ,         36
28/08/19                      ,MovilSE                                                                                             ,        102
28/08/19                      ,UB                                                                                                  ,          4
28/08/19                      ,MovilGZ                                                                                             ,          3
28/08/18                      ,MovilGZ                                                                                             ,         11
28/08/18                      ,MovilSE                                                                                             ,         96
28/08/18                      ,PortalGZ                                                                                            ,          5
28/08/18                      ,UB                                                                                                  ,          2
28/07/20                      ,MovilSE                                                                                             ,         16
28/07/20                      ,MovilGZ                                                                                             ,          2
28/07/20                      ,MovilSE                                                                                             ,         34
28/07/20                      ,PortalGZ                                                                                            ,          1
28/07/20                      ,UB                                                                                                  ,         11
28/07/19                      ,MovilSE                                                                                             ,          4
28/07/19                      ,UB                                                                                                  ,          1
28/07/19                      ,MovilSE                                                                                             ,          1
28/07/18                      ,MovilSE                                                                                             ,         36
28/07/18                      ,UB                                                                                                  ,          3
28/06/20                      ,MovilSE                                                                                             ,          2
28/06/20                      ,UB                                                                                                  ,          1
28/06/19                      ,MovilGZ                                                                                             ,          5
28/06/19                      ,MovilSE                                                                                             ,          3
28/06/19                      ,MovilSE                                                                                             ,        110
28/06/19                      ,PortalGZ                                                                                            ,          4
28/06/18                      ,MovilSE                                                                                             ,         78
28/06/18                      ,MovilGZ                                                                                             ,          4
28/06/18                      ,PortalGZ                                                                                            ,          3
28/05/20                      ,UB                                                                                                  ,          4
28/05/20                      ,MovilSE                                                                                             ,          3
28/05/19                      ,MovilGZ                                                                                             ,         17
