"","FechaConsultora","FuenteIngreso","cantidad","Pais"
"1","01/01/20","MovilSE",5,"Chile"
"2","01/02/19","MovilSE",153,"Chile"
"3","01/02/19","UB",3,"Chile"
"4","01/02/19","UB",31,"Chile"
"5","01/03/18","MovilSE",81,"Chile"
"6","01/03/18","UB",27,"Chile"
"7","01/03/19","MovilGZ",4,"Chile"
"8","01/03/20","UB",8,"Chile"
"9","01/04/18","MovilSE",2,"Chile"
"10","01/04/20","MovilSE",64,"Chile"
"11","01/04/20","UB",1,"Chile"
"12","01/04/20","UB",31,"Chile"
"13","01/05/18","MovilSE",20,"Chile"
"14","01/05/18","UB",13,"Chile"
"15","01/05/19","MovilGZ",4,"Chile"
"16","01/05/19","MovilSE",53,"Chile"
"17","01/05/20","UB",23,"Chile"
"18","01/06/18","MovilGZ",2,"Chile"
"19","01/06/18","UB",56,"Chile"
"20","01/06/19","MovilSE",59,"Chile"
"21","01/06/20","MovilSE",63,"Chile"
"22","01/07/18","MovilSE",3,"Chile"
"23","01/07/20","MovilGZ",13,"Chile"
"24","01/07/20","MovilSE",115,"Chile"
"25","01/07/20","UB",67,"Chile"
"26","01/08/18","PortalGZ",3,"Chile"
"27","01/08/19","MovilGZ",15,"Chile"
"28","01/08/19","MovilSE",158,"Chile"
"29","01/09/18","MovilSE",29,"Chile"
"30","01/09/19","MovilGZ",2,"Chile"
"31","01/09/19","MovilSE",24,"Chile"
"32","01/09/20","UB",29,"Chile"
"33","01/10/18","MovilSE",94,"Chile"
"34","01/10/19","MovilGZ",6,"Chile"
"35","01/10/19","UB",33,"Chile"
"36","01/11/18","UB",6,"Chile"
"37","01/11/19","UB",6,"Chile"
"38","01/12/18","UB",13,"Chile"
"39","01/12/19","MovilGZ",2,"Chile"
"40","01/12/19","MovilSE",28,"Chile"
"41","01/12/19","UB",8,"Chile"
"42","02/01/18","MovilSE",6,"Chile"
"43","02/01/18","PortalGZ",1,"Chile"
"44","02/01/19","MovilSE",6,"Chile"
"45","02/01/19","UB",13,"Chile"
"46","02/01/20","MovilGZ",1,"Chile"
"47","02/01/20","MovilSE",1,"Chile"
"48","02/02/18","MovilSE",42,"Chile"
"49","02/02/18","PortalGZ",4,"Chile"
"50","02/02/18","UB",12,"Chile"
"51","02/02/19","MovilSE",40,"Chile"
"52","02/02/19","UB",10,"Chile"
"53","02/03/18","MovilSE",31,"Chile"
"54","02/03/19","MovilSE",31,"Chile"
"55","02/03/20","MovilSE",67,"Chile"
"56","02/03/20","UB",29,"Chile"
"57","02/04/18","MovilSE",54,"Chile"
"58","02/04/18","PortalGZ",1,"Chile"
"59","02/04/19","UB",1,"Chile"
"60","02/04/20","MovilSE",62,"Chile"
"61","02/04/20","UB",37,"Chile"
"62","02/05/18","MovilSE",53,"Chile"
"63","02/05/18","PortalGZ",4,"Chile"
"64","02/05/19","MovilSE",184,"Chile"
"65","02/05/19","UB",59,"Chile"
"66","02/05/20","MovilSE",7,"Chile"
"67","02/06/18","MovilSE",16,"Chile"
"68","02/06/18","UB",11,"Chile"
"69","02/06/19","MovilSE",26,"Chile"
"70","02/06/19","UB",8,"Chile"
"71","02/06/20","MovilGZ",1,"Chile"
"72","02/06/20","UB",61,"Chile"
"73","02/07/18","MovilSE",4,"Chile"
"74","02/07/19","MovilGZ",3,"Chile"
"75","02/07/19","MovilSE",78,"Chile"
"76","02/07/20","MovilSE",112,"Chile"
"77","02/07/20","UB",94,"Chile"
"78","02/08/18","UB",28,"Chile"
"79","02/08/19","UB",32,"Chile"
"80","02/08/20","MovilSE",4,"Chile"
"81","02/09/18","MovilGZ",1,"Chile"
"82","02/09/18","MovilSE",18,"Chile"
"83","02/09/19","PortalGZ",4,"Chile"
"84","02/09/19","UB",20,"Chile"
"85","02/10/18","MovilSE",100,"Chile"
"86","02/10/18","PortalGZ",2,"Chile"
"87","02/10/18","UB",38,"Chile"
"88","02/10/19","MovilGZ",9,"Chile"
"89","02/11/18","UB",2,"Chile"
"90","02/11/19","MovilSE",3,"Chile"
"91","02/12/18","MovilSE",7,"Chile"
"92","02/12/18","UB",1,"Chile"
