"","FechaConsultora","FuenteIngreso","cantidad","Pais"
"1","26/08/19","MovilGZ",33,"Perú"
"2","10/03/19","CALL CENTER",1,"Perú"
"3","04/11/19","MovilGZ",30,"Perú"
"4","13/02/19","UB",31,"Perú"
"5","04/11/19","CALL CENTER",4,"Perú"
"6","12/02/19","CALL CENTER",1,"Perú"
"7","07/08/19","MovilSE",446,"Perú"
"8","30/01/19","UB",36,"Perú"
"9","19/02/19","MovilGZ",26,"Perú"
"10","04/11/19","PortalGZ",2,"Perú"
"11","27/11/19","UB",42,"Perú"
"12","12/01/19","CALL CENTER",1,"Perú"
"13","29/03/19","PortalGZ",4,"Perú"
"14","16/09/19","PortalGZ",4,"Perú"
"15","09/11/19","MovilSE",68,"Perú"
"16","12/09/19","MovilGZ",30,"Perú"
"17","28/02/19","PortalGZ",12,"Perú"
"18","16/12/19","MovilGZ",23,"Perú"
"19","07/07/19","MovilGZ",1,"Perú"
"20","15/11/19","UB",32,"Perú"
"21","30/01/19","CALL CENTER",2,"Perú"
"22","03/11/19","MovilSE",24,"Perú"
"23","07/06/19","CALL CENTER",4,"Perú"
"24","24/11/19","UB",1,"Perú"
"25","29/11/19","PortalGZ",1,"Perú"
"26","09/09/19","UB",39,"Perú"
"27","26/03/19","MovilSE",405,"Perú"
"28","02/05/19","CALL CENTER",4,"Perú"
"29","26/09/19","UB",23,"Perú"
"30","03/12/19","UB",57,"Perú"
"31","23/08/19","CALL CENTER",1,"Perú"
"32","26/02/19","UB",57,"Perú"
"33","15/07/19","UB",35,"Perú"
"34","27/09/19","UB",23,"Perú"
"35","18/04/19","UB",7,"Perú"
"36","23/07/19","CALL CENTER",2,"Perú"
"37","15/03/19","MovilSE",441,"Perú"
"38","09/12/19","PortalGZ",1,"Perú"
"39","29/01/19","UB",54,"Perú"
"40","16/08/19","MovilSE",237,"Perú"
"41","17/07/19","UB",17,"Perú"
"42","04/01/19","UB",27,"Perú"
"43","03/12/19","CALL CENTER",2,"Perú"
"44","29/11/19","MovilSE",269,"Perú"
"45","30/12/19","MovilSE",504,"Perú"
"46","17/09/19","MovilGZ",20,"Perú"
"47","19/08/19","MovilGZ",35,"Perú"
"48","09/11/19","UB",5,"Perú"
"49","26/02/19","CALL CENTER",2,"Perú"
"50","15/10/19","MovilSE",377,"Perú"
"51","11/03/19","MovilGZ",16,"Perú"
"52","01/02/19","UB",36,"Perú"
"53","05/02/19","UB",49,"Perú"
"54","09/09/19","PortalGZ",4,"Perú"
"55","26/01/19","MovilSE",139,"Perú"
"56","03/02/19","MovilGZ",1,"Perú"
"57","09/10/19","UB",38,"Perú"
"58","01/04/19","PortalGZ",1,"Perú"
"59","04/04/19","MovilGZ",20,"Perú"
"60","26/09/19","PortalGZ",1,"Perú"
"61","21/05/19","MovilSE",593,"Perú"
"62","08/04/19","MovilGZ",31,"Perú"
"63","22/06/19","CALL CENTER",2,"Perú"
"64","25/02/19","MovilGZ",12,"Perú"
"65","03/12/19","PortalGZ",12,"Perú"
"66","28/01/20","UB",1,"Perú"
"67","01/02/19","PortalGZ",9,"Perú"
"68","18/07/19","MovilSE",378,"Perú"
"69","06/06/19","UB",48,"Perú"
"70","03/04/19","PortalGZ",12,"Perú"
"71","15/05/19","MovilSE",513,"Perú"
"72","12/08/19","MovilGZ",20,"Perú"
"73","16/08/19","UB",23,"Perú"
"74","03/05/19","MovilGZ",20,"Perú"
"75","26/06/19","CALL CENTER",1,"Perú"
"76","14/11/19","MovilGZ",15,"Perú"
"77","05/06/19","MovilGZ",26,"Perú"
"78","28/10/19","UB",30,"Perú"
"79","30/01/20","MovilSE",1,"Perú"
"80","09/04/19","UB",52,"Perú"
"81","06/05/19","CALL CENTER",1,"Perú"
"82","01/04/19","MovilSE",684,"Perú"
"83","13/07/19","MovilGZ",4,"Perú"
"84","21/02/19","MovilGZ",10,"Perú"
"85","03/06/19","CALL CENTER",4,"Perú"
"86","06/10/19","UB",4,"Perú"
"87","28/10/19","CALL CENTER",1,"Perú"
"88","07/06/19","UB",49,"Perú"
"89","21/10/19","UB",33,"Perú"
"90","13/08/19","MovilGZ",18,"Perú"
"91","14/08/19","MovilGZ",20,"Perú"
"92","26/09/19","CALL CENTER",1,"Perú"
"93","11/07/19","PortalGZ",2,"Perú"
"94","21/09/19","UB",3,"Perú"
"95","22/11/19","MovilSE",335,"Perú"
"96","21/10/19","PortalGZ",4,"Perú"
"97","11/12/19","PortalGZ",4,"Perú"
"98","21/08/19","UB",36,"Perú"
"99","05/08/19","UB",38,"Perú"
"100","10/10/19","MovilSE",432,"Perú"
"101","04/07/20","MovilSE",1,"Perú"
"102","29/05/19","PortalGZ",1,"Perú"
"103","24/03/19","UB",12,"Perú"
"104","14/12/19","MovilGZ",1,"Perú"
"105","17/04/19","PortalGZ",3,"Perú"
"106","26/01/19","MovilGZ",6,"Perú"
"107","28/07/19","MovilGZ",2,"Perú"
"108","01/02/19","MovilSE",409,"Perú"
"109","03/08/19","MovilSE",84,"Perú"
"110","11/02/19","CALL CENTER",4,"Perú"
"111","18/09/19","MovilGZ",25,"Perú"
"112","19/04/19","UB",7,"Perú"
"113","20/12/19","UB",25,"Perú"
"114","23/01/20","UB",1,"Perú"
"115","17/11/19","UB",1,"Perú"
"116","27/05/19","MovilGZ",33,"Perú"
"117","21/10/19","MovilGZ",14,"Perú"
"118","11/04/19","PortalGZ",6,"Perú"
"119","24/05/19","MovilSE",420,"Perú"
"120","06/04/19","CALL CENTER",2,"Perú"
"121","27/08/19","MovilSE",483,"Perú"
"122","13/03/19","UB",51,"Perú"
"123","16/02/19","MovilGZ",1,"Perú"
"124","21/01/19","CALL CENTER",1,"Perú"
"125","13/05/19","MovilGZ",19,"Perú"
"126","11/05/19","MovilGZ",1,"Perú"
"127","20/08/19","MovilGZ",19,"Perú"
"128","03/08/19","UB",9,"Perú"
"129","11/02/19","UB",68,"Perú"
"130","26/12/19","UB",33,"Perú"
"131","22/03/19","MovilGZ",19,"Perú"
"132","23/03/19","MovilGZ",2,"Perú"
"133","27/06/19","PortalGZ",2,"Perú"
"134","09/10/19","CALL CENTER",1,"Perú"
"135","04/10/19","PortalGZ",1,"Perú"
"136","24/11/19","MovilGZ",1,"Perú"
"137","29/01/19","CALL CENTER",2,"Perú"
"138","29/01/19","PortalGZ",12,"Perú"
"139","24/10/19","MovilSE",391,"Perú"
"140","24/10/19","PortalGZ",4,"Perú"
"141","08/12/19","MovilSE",36,"Perú"
"142","23/12/19","CALL CENTER",1,"Perú"
"143","25/10/19","MovilGZ",10,"Perú"
"144","14/10/19","MovilGZ",28,"Perú"
"145","26/02/19","MovilGZ",14,"Perú"
"146","26/03/19","UB",54,"Perú"
"147","09/03/19","UB",15,"Perú"
"148","04/01/19","CALL CENTER",1,"Perú"
"149","11/04/19","UB",38,"Perú"
"150","05/10/19","MovilSE",51,"Perú"
"151","22/05/19","PortalGZ",4,"Perú"
"152","10/05/19","UB",20,"Perú"
"153","04/09/19","MovilSE",351,"Perú"
"154","10/03/19","UB",9,"Perú"
"155","23/07/19","MovilGZ",17,"Perú"
"156","12/04/19","PortalGZ",6,"Perú"
"157","01/04/19","UB",54,"Perú"
"158","15/03/19","PortalGZ",4,"Perú"
"159","29/12/19","UB",2,"Perú"
"160","10/10/19","UB",25,"Perú"
"161","27/09/19","PortalGZ",1,"Perú"
"162","27/09/19","CALL CENTER",1,"Perú"
"163","21/04/19","UB",12,"Perú"
"164","24/04/19","MovilSE",683,"Perú"
"165","09/09/19","MovilSE",547,"Perú"
"166","22/05/19","MovilSE",491,"Perú"
"167","15/03/19","CALL CENTER",1,"Perú"
"168","13/03/19","CALL CENTER",1,"Perú"
"169","17/08/19","MovilSE",75,"Perú"
"170","21/01/19","UB",52,"Perú"
"171","02/02/19","MovilGZ",1,"Perú"
"172","18/10/19","MovilSE",305,"Perú"
"173","25/03/19","MovilSE",550,"Perú"
"174","25/07/19","UB",28,"Perú"
"175","18/12/19","PortalGZ",6,"Perú"
"176","26/02/19","PortalGZ",7,"Perú"
"177","17/05/19","MovilSE",444,"Perú"
"178","26/10/19","MovilSE",49,"Perú"
"179","31/07/19","CALL CENTER",1,"Perú"
"180","15/11/19","MovilSE",473,"Perú"
"181","04/01/19","PortalGZ",1,"Perú"
"182","26/06/19","MovilSE",515,"Perú"
"183","20/11/19","MovilSE",401,"Perú"
"184","15/05/19","CALL CENTER",3,"Perú"
"185","26/03/19","CALL CENTER",4,"Perú"
"186","12/04/19","MovilGZ",23,"Perú"
